inventory_id,item_id,location,case_count_on_hand,case_count_allocated,case_count_available,unit_price,date_last_sold,case_count_last_sold,date_extracted
141661,104864,DOK,900,0,900,0,0,0,Mon Oct 11 16:52:32 2021
141657,104863,HLD,48,0,48,0,0,0,Mon Oct 11 16:52:32 2021
141654,104862,MOF,1574,0,1574,0,0,0,Mon Oct 11 16:52:32 2021
141651,104861,REC,1025,0,1025,0,0,0,Mon Oct 11 16:52:32 2021
141648,104860,MOF,479,0,479,0,0,0,Mon Oct 11 16:52:32 2021
141645,104859,MOF,173,0,173,0,0,0,Mon Oct 11 16:52:32 2021
141642,104858,MOF,17,0,17,0,0,0,Mon Oct 11 16:52:32 2021
141640,104857,DOK,240,0,240,0,0,0,Mon Oct 11 16:52:32 2021
141639,104857,REC,1104,0,1104,0,0,0,Mon Oct 11 16:52:32 2021
141636,104856,HLD,4200,0,4200,0,0,0,Mon Oct 11 16:52:32 2021
141633,104855,HLD,260,0,260,0,0,0,Mon Oct 11 16:52:32 2021
141630,104854,HLD,211,0,211,0,0,0,Mon Oct 11 16:52:32 2021
141627,104853,HLD,311,0,311,0,0,0,Mon Oct 11 16:52:32 2021
141624,104852,HLD,13,0,13,0,0,0,Mon Oct 11 16:52:32 2021
141621,104851,HLD,80,0,80,0,0,0,Mon Oct 11 16:52:32 2021
141618,104850,HLD,780,0,780,0,0,0,Mon Oct 11 16:52:32 2021
141615,104849,MOF,520,6,514,0,0,0,Mon Oct 11 16:52:32 2021
141612,104848,MOF,528,23,505,0,0,0,Mon Oct 11 16:52:32 2021
141609,104847,MOF,28,0,28,0,0,0,Mon Oct 11 16:52:32 2021
141607,104846,DOK,75,0,75,0,0,0,Mon Oct 11 16:52:32 2021
141606,104846,MOF,310,0,310,0,0,0,Mon Oct 11 16:52:32 2021
141603,104845,MOF,421,0,421,0,0,0,Mon Oct 11 16:52:32 2021
141601,104844,DOK,84,0,84,0,0,0,Mon Oct 11 16:52:32 2021
141597,104843,MOF,881,0,881,0,0,0,Mon Oct 11 16:52:32 2021
141594,104842,MOF,42,0,42,0,0,0,Mon Oct 11 16:52:32 2021
141591,104841,MOF,42,0,42,0,0,0,Mon Oct 11 16:52:32 2021
141588,104840,REC,413,0,413,0,0,0,Mon Oct 11 16:52:32 2021
141585,104839,MOF,1294,1294,0,0,0,0,Mon Oct 11 16:52:32 2021
141582,104838,MOF,155,155,0,0,0,0,Mon Oct 11 16:52:32 2021
141579,104837,HLD,294,0,294,0,0,0,Mon Oct 11 16:52:32 2021
141576,104836,HLD,119,0,119,0,20211011,49,Mon Oct 11 16:52:32 2021
141573,104835,MOF,899,699,200,0,0,0,Mon Oct 11 16:52:32 2021
141570,104834,MOF,480,408,72,0,0,0,Mon Oct 11 16:52:32 2021
141567,104833,MOF,2387,469,1918,0,0,0,Mon Oct 11 16:52:32 2021
141566,104832,PAN,161,0,161,0,0,0,Mon Oct 11 16:52:32 2021
141561,104831,MOF,167,167,0,0,20211011,10,Mon Oct 11 16:52:32 2021
141558,104830,MOF,18,18,0,0,0,0,Mon Oct 11 16:52:32 2021
141555,104829,MOF,70,70,0,0,0,0,Mon Oct 11 16:52:32 2021
141536,104821,HLD,136,0,136,0,20211011,16,Mon Oct 11 16:52:32 2021
141533,104820,HLD,197,0,197,0,20211011,2,Mon Oct 11 16:52:32 2021
141530,104819,HLD,1430,0,1430,0,20211011,200,Mon Oct 11 16:52:32 2021
141527,104818,HLD,450,0,450,0,20211008,45,Mon Oct 11 16:52:32 2021
141524,104817,MOF,5,5,0,0,20211011,31,Mon Oct 11 16:52:32 2021
141521,104816,MOF,54,54,0,0,20211008,10,Mon Oct 11 16:52:32 2021
141518,104815,MOF,71,71,0,0,20211011,12,Mon Oct 11 16:52:32 2021
141515,104814,MOF,60,60,0,0,20211011,5,Mon Oct 11 16:52:32 2021
141514,104813,PAN,5902,0,5902,0,0,0,Mon Oct 11 16:52:32 2021
141509,104812,MOF,66,66,0,0,20211008,8,Mon Oct 11 16:52:32 2021
141506,104811,MOF,8,8,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141503,104810,MOF,34,34,0,0,20211008,2,Mon Oct 11 16:52:32 2021
141495,104807,MOF,114,114,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141492,104806,HLD,17,0,17,0,0,0,Mon Oct 11 16:52:32 2021
141489,104805,MOF,39,39,0,0,20211011,10,Mon Oct 11 16:52:32 2021
141486,104804,MOF,767,53,714,0,20211011,2,Mon Oct 11 16:52:32 2021
141483,104803,XTR,2160,0,2160,0,0,0,Mon Oct 11 16:52:32 2021
141480,104802,HLD,662,0,662,0,20211011,4,Mon Oct 11 16:52:32 2021
141479,104801,REC,3215,3215,0,0,20211011,150,Mon Oct 11 16:52:32 2021
141478,104800,REC,1179,1179,0,0,20211011,35,Mon Oct 11 16:52:32 2021
141475,104799,HLD,95,0,95,0,20211011,40,Mon Oct 11 16:52:32 2021
141472,104798,HLD,155,0,155,0,20211011,5,Mon Oct 11 16:52:32 2021
141467,104796,HLD,73,0,73,0,20211011,5,Mon Oct 11 16:52:32 2021
141464,104795,HLD,106,0,106,0,20211011,11,Mon Oct 11 16:52:32 2021
141460,104794,HLD,360,0,360,0,20211011,7,Mon Oct 11 16:52:32 2021
141457,104793,MOF,17,17,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141448,104790,MOF,23,23,0,0,20211011,15,Mon Oct 11 16:52:32 2021
141442,104788,HLD,400,0,400,0,20211011,154,Mon Oct 11 16:52:32 2021
141439,104787,HLD,330,0,330,0,20211011,13,Mon Oct 11 16:52:32 2021
141436,104786,XTR,2473,0,2473,0,0,0,Mon Oct 11 16:52:32 2021
141433,104785,HLD,174,0,174,0,20211009,16,Mon Oct 11 16:52:32 2021
141430,104784,HLD,161,0,161,0,20211008,160,Mon Oct 11 16:52:32 2021
141427,104783,HLD,106,0,106,0,20211011,2,Mon Oct 11 16:52:32 2021
141424,104782,MOF,9,9,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141421,104781,MOF,114,36,78,0,20211011,1,Mon Oct 11 16:52:32 2021
141418,104780,MOF,20,20,0,0,0,0,Mon Oct 11 16:52:32 2021
141415,104779,MOF,41,41,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141412,104778,MOF,16,16,0,0,20211011,5,Mon Oct 11 16:52:32 2021
141409,104777,MOF,106,67,39,0,20211011,2,Mon Oct 11 16:52:32 2021
141406,104776,MOF,7,7,0,0,0,0,Mon Oct 11 16:52:32 2021
141403,104775,MOF,49,49,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141400,104774,MOF,89,89,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141397,104773,HLD,5,0,5,0,20211009,1,Mon Oct 11 16:52:32 2021
141394,104772,MOF,194,194,0,0,20211011,10,Mon Oct 11 16:52:32 2021
141391,104771,MOF,17,17,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141390,104770,MOF,26,26,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141384,104768,HLD,120,0,120,0,20211011,120,Mon Oct 11 16:52:32 2021
141381,104767,HLD,85,0,85,0,20211006,84,Mon Oct 11 16:52:32 2021
141378,104766,HLD,59,0,59,0,20211011,10,Mon Oct 11 16:52:32 2021
141372,104764,MOF,612,286,326,0,20211011,12,Mon Oct 11 16:52:32 2021
