"table","column","data_type","pct_populated","n_unique","pct_unique","max","min","mean","median","pct_25","pct_75","sample_value","Description","Key"
"dim_agencies","agency_id","double",100,2504,100,2538,2,1269.97,1275.5,628.75,1909.25,"1619","Unique, numeric identifier for each agency. One ID per agency.","Primary"
"dim_agencies","agency_id_rollup","double",23.64,253,10.1,2483,2,1094.8,1268,236,1728,"1619",NA,NA
"dim_agencies","agency_type","character",86.46,23,0.92,NA,NA,NA,NA,NA,NA,"Pantry","Categorical variable to show what type of agency the agency operates as. E.g. Pantry, Produce Market, Shelter, Day Care, etc.",NA
"dim_agencies","billing_address1","character",95.17,1884,75.24,NA,NA,NA,NA,NA,NA,"Attn: Mr. Gary M. Dillard","First line of agency's billing address.",NA
"dim_agencies","billing_address2","character",2.84,71,2.84,NA,NA,NA,NA,NA,NA,"7224 E. Main St.","2nd line of agency's billing address (if applicable).",NA
"dim_agencies","billing_city","character",95.33,282,11.26,NA,NA,NA,NA,NA,NA,"South Solon","Name of city in which the agency's billing address is located.",NA
"dim_agencies","billing_state","character",94.65,37,1.48,NA,NA,NA,NA,NA,NA,"OH","2-character abbreviation for the state in which the agency's billing address is located.",NA
"dim_agencies","billing_zip","character",100,413,16.49,NA,NA,NA,NA,NA,NA,"45153","Billing ZIP code for agency. Sometimes represented as #####, sometimes as #####-####.",NA
"dim_agencies","county_code","character",100,30,1.2,NA,NA,NA,NA,NA,NA,"MAD","3-character abbreviation for the county in which the agency is located.",NA
"dim_agencies","county_name","character",99.96,30,1.2,NA,NA,NA,NA,NA,NA,"Madison","Full name of county in which the agency is located.",NA
"dim_agencies","county_rollup","character",91.89,4,0.16,NA,NA,NA,NA,NA,NA,"Contiguous","MOFC-created grouping for counties for comparison purposes. Can be Franklin, Rural, or Contiguous. Franklin contains Franklin County, Rural contains sparsely-populated counties usually farther away from metro Columbus area, and contigious contains more densely-populated counties usually closer to the metro Columbus area.",NA
"dim_agencies","is_community_agency","double",100,2,0.08,1,0,0.92,1,1,1,"1","True/False variable for whether or not the agency is a community agency. 1 = True, 0 = False.",NA
"dim_agencies","name","character",99.96,2464,98.4,NA,NA,NA,NA,NA,NA,"Grace Community Church Food Pantry","Full name of agency.",NA
"dim_agencies","number","character",100,2504,100,NA,NA,NA,NA,NA,NA,"1575",NA,NA
"dim_agencies","number_full","character",100,2504,100,NA,NA,NA,NA,NA,NA,"000000001575",NA,NA
"dim_agencies","representative_name","character",9.9,3,0.12,NA,NA,NA,NA,NA,NA,"B.Nance","Name of agency's representative for point of contact, if applicable.",NA
"dim_agencies","services_loc_id","integer",87.06,566,22.6,4568,0,383.92,0,0,405.5,"0",NA,"Foreign"
"dim_agencies","services_reporting_agency_id","integer",87.06,599,23.92,754,0,104.1,0,0,56.25,"0",NA,"Foreign"
"dim_dates","CalendarQuarter","integer",100,4,0.02,4,1,2.51,3,2,4,"3","Dimension of the date, identifies the quarter of the year for the date.",NA
"dim_dates","CalendarYear","integer",100,47,0.27,2026,1980,2003,2003,1991,2015,"2026","Dimension of the date, identifies the year of the date.",NA
"dim_dates","CalendarYearMonth","integer",100,564,3.29,202612,198001,200306.45,200307,199110,201504,"202609","Dimension of the date, combines the CalendarYear and MonthOfYear for a unique identifier for each date.",NA
"dim_dates","CalendarYearMonthDashed","character",100,564,3.29,NA,NA,NA,NA,NA,NA,"2026-09","Dimension of the date, dashed version of CalendarYearMonth",NA
"dim_dates","CalendarYearQtr","character",100,188,1.1,NA,NA,NA,NA,NA,NA,"2026Q3","Dimension of the date, combines CalendarYear and CalendarQuarter. Uniquely identies the CalendarYear Quarter and provides nice text version for use on charts and menus.",NA
"dim_dates","date_key","integer",100,17167,100,20261231,19800101,20030661.03,20030702,19911001.5,20150401.5,"20260930","Primary Key, uniquely identifies the entry. One entry per date, format YYYYMMDD.","Primary"
"dim_dates","date_m","double",100,17167,100,NA,NA,NA,NA,NA,NA,"20726","Format of the date, MySQL.",NA
"dim_dates","DateName","character",100,17167,100,NA,NA,NA,NA,NA,NA,"2026/09/30","Format of the date, YYYY/MM/DD, uncomon, but allows text-sorting (A-Z) of dates",NA
"dim_dates","DayNameOfWeek","character",100,7,0.04,NA,NA,NA,NA,NA,NA,"Wednesday","Dimension of the date, Full length Day of Week",NA
